text,label,lang,text_trans
පට්ට පට පට...,0,si,It's a great film.
"පරණ කෑල්ල අද වෙනකම් හිටියනම් අදට අවුරුදු 4යි. යාලු වෙලා. වෙලාවට ඊට පහු වෙනිදම බූට් එක කෑවෙ, නැත්තම් අවුරුදු 4ක් එක කෙල්ලෙක් ? ටෞකනවා",1,si,"If the old one had stayed up to date, it'd be four years ago, we'd be friends, and the next day, the shoe would've been on, or four years ago, a girl would've been on the floor."
යාළුවා කියලා හිතන් සර් ගේ ඔලුවට රෙද්ද දාලා නෙලන එක වෙනමම ආතල් එකක් බන්. URL This Tweet is unavailable.,0,si,It's a lot of fun to get a friend on the head of a sir.
හොඳ මිතුරියක් කතා කලා. විස්තර කතාකරමින් ඉදලා මේ දවස්වල මොකො කරන්නේ ඇහුවා. මම උයපු හදපු කෑම බීම ජාති කිව්වා. බැඳලත් නැති එකෙ ඔච්චර උයන්න යන්න එපා තෝ ගෑනියෙක් වෙයි කියලා එයා කිව්ව. ඒක ඇහු වෙලේ ඉදන් ඇග බිජ්ජට තියෙන සම්බන්ධය අඩුවෙනව වගෙ. මේ කොරෝනස්සෙ ඒකත් හැලිල යයිද මන්දා,1,si,"A good friend called me, and after talking about the details, he asked me what I was doing these days, and I told him about the cooking I was doing, and he told me not to cook so much without getting married, and he said that you'd be a woman, and that the connection between you and your body has been decreasing since I heard it, and I don't know if it's going to be a coronavirus thing."
"ඔය බනින්නෙ.. හරකා, මී හරකා කිය කිය...",1,si,"You're the one who blames the bull, the bee, the bull."
කැතරින් මංගල හමුවෙයි: ඇමරිකානු රාජ්‍ය දෙපාර්තමේන්තුවේ ලෝක කාන්තා කටයුතු පිළිබඳ තානාපතිවරිය වූ කැත... URL,0,si,Catherine Mangal is the US State Department's ambassador for women's affairs worldwide.
රැ ඩැනියල් දවල් මිගෙල් is on Swarnawahini හම්මේ.. ගොන් ජෝක් තමා.. ඒත් කොච්චර බැලුවත් එපා වෙන්නේ නෑ..,1,si,"Ra Daniel Ra Miguel is on Swarnawahini, he's a fool, but no matter how much he looks, he's not bothered."
අඩො.. බර්ත්ඩේ එක දවසේ පු* පලාගන්න ආසද :v,1,si,"Hey, you want to get away from the f*ck one day?"
නිරෝදායනයට යන්න එනවද කියලා මීනාක්ශිගෙන් ඇහුවා එන්න බෑලු + එහෙනම් උඹ එන්නෑ - නැහැ +පරට්ටි ! ුහාසටනපොකුර,1,si,"I asked Minakshi if he was coming to the quarantine, so you're not coming."
ඇත්ත කියනව ජෝං බාස්.... තමුසෙ නේද පිස්තෝලෙ කටට එබුවෙ.....,0,si,You're the one who put the gun in the mouth.
අරූට ඉතින් එලොව පොල් පෙනුනලු...ලැජ්ජාවට හිනා වෙලා පොර සේපෙට පෙත්තෙ කොලේ ගලෝල ආයෙ කටින් තියාගත්තලු...සෙනික දියවෙලා පෙත්ත ගියාලු...අම්මටහුඩු පොරට හෙන හැපි...පස්සෙ ඇහුවලු මොකක්ද බ්‍රෝ ඒ පෙත්ත...හරිම වඳ රහක් ආවෙ කියල. අනික කිව්වලු ඕක බිව්වම වඳ තමා වෙන්නෙ මාතියා කියල,0,si,"He looked like a worldly chicken, laughed in shame, put the potatoes back in his mouth, and the potatoes were melted, and the mother-skin guy was beaten, and then he asked what bro the potatoes were, and he said that when he drank it, it was Mattia."
පොහොට්ටුව පිපෙන්ඩයි යන්නෙ.,0,si,The fence is going to Pimpenda.
"මේ වගේ දෙවල් ශෙයාර් කරල මිනිස්සු හරි හමන් දැනීමක් නැතුව මේක කරන්න ගිහින් වෙන අනතුරු වලට වගකියන්නේ උඹේ බාප්පද?? ගොන් වැඩ කරන්න එපා යකො. ඔච්චරම පු**අමාරුවනම් උඹ ට්‍රයි කරල බලපන්. අපේ ප්ලීස් මචන් ම්, එක පාරක් ට්‍රයි කරපන්.",1,si,You're gonna share this stuff and people will be able to do this without feeling sorry and your dad's gonna be responsible for all the other accidents?
අනෙ බොල මං කියන්නැ තොට,0,si,And I won't tell you.
"""එක පිරිමියෙකු ඉල්ලලා පාරේ 'කුණුහරුප කියන් ගහා ගන්නා' අපේ මෝඩ අක්කාලා ගේ වැඩ කැලි ටික හොරෙන් කැමරාවක සටහන් කරගනී"" URL",0,si,"""A man who begs to take the street and screws up and takes the work of our stupid sisters in a camera"""
නීතී නෑ රණ්ඩු නෑ කෝල් නෑ මැසේජ් නෑ තනිකඩ ජීවීතේ පට්ට බං,0,si,"No rules, no fights, no calls, no messages, and the single life is great."
හිනා උනේ පකෝ වරෙන් ඒක හාන්න,1,si,"I was laughing. Come on, fuck it."
තොට හොඳ වැඩේ... සාදු සාදු...,0,si,"You did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job, you did a good job,"
පෝය ලංඋනාම ඔහොම වෙනවා වැඩි ..මොකද පිස්සා හිතන්නෙ ඌට නෙවෙයි අනිත් එකාට පිස්සු කියලා ..,0,si,It's more like this when Poe gets closer because the crazy guy thinks he's crazy than the other guy.
System එක වෙනස් වෙමින් පවතී,0,si,The system is changing.
අනේ ඉතින් උඹලාගේ කැත හිත...බලහං ඉතින් ඇඳක් දැක්කොත් උඹල හිතන්නෙ වෙන මොකක් හරි...අසහනේ,0,si,"So, you guys, if you see a bed, you think of something else, you know?"
"මොනවා වුනත් පොහොට්ටුවොන්ට වඩා සූක්ෂම සෙට් එකක් සජිත් වටේ ඉන්නවා පොහොට්ටුවෝ ශ්‍රී මඛය පට්ට ගහද්දී, පුතාණෝ ප්‍රසිද්ධියෙ සමාව අරං උඩ එනවා ඉරාජ් මාස ගානක් කියවලා ගෑණු ඇඳුනුත් ඇඳලා දාපු වීඩියෝ එක බලද්දී සජිත්ගෙ ඇඩ් ප්ලේ වෙනවා එහෙමයි කියලා ඔය එකකටවත් මගෙ ඡන්දෙ නෑ",0,si,"Anyway, there's a more subtle set of guys around Sajit, while the guys are banging their faces, and my son is coming up publicly to apologize, and I'm not going to vote for any of you, because I'm watching the video where I read about Iraj wearing women's suits for months."
ලංකාව තුළ මෝඩ දේශපාලනඥයින් නොමැති අතර ඇත්තේ නූගත් දේශපාලනඥයින් පමණි,0,si,"There are no stupid politicians in Sri Lanka, only ignorant politicians."
හරි සම්බන්ධ කට්ටිය කවුද කියන්නකෝ,0,si,"Okay, who's the guy involved?"
ඇයි යකෝ අනික් සත්තු නැට්ට ගලවලා තියලාද මැරෙන්නේ? Yoooo · 25 Sep 2021 ප්‍රතික්ශෙපවීම් නම් මොනවද බන් නැට්ට පිටින් අලිත් මැරෙන්නෙ,0,si,Why the hell are the other animals dying off the nuts?
චන්ද්‍රිකා යුද්ධයෙන් 75% ඉවර කළ අයුරු .. 3:) 3:) 3:) (බැල්ලි ) URL,1,si,The satellite war has completed 75% of the war.
කොහොමවත් නෑ.. මම දන්නවනෙ ඒකිගෙ තොට තියෙන ආදරේ..,0,si,I know her love for you.
මාර බැල්ලි නේහ්. ඌ ලයිකා වගේ නේ,0,si,"He's a bitch, he looks like a lyca."
