text,label,lang
call sis im boy girl still faggot shut,1,en
@user @user legit nilas retarded idk,1,en
said retard @url,1,en
america another 8 years obama's ideology via hillary we'd well way shithole country.,1,en
@user don... fucking made cry twat.,1,en
one wants 2 negro swan,1,en
@user @user @user hahaha. one trump's shithole countries?,1,en
u juul ur faggot,1,en
@user @user even called country shithole people shithole people. sad.,1,en
canadians never met seen associated person currently labelled retarded . plan @url,1,en
@user @user south africa years come. keep supporting loud mouth poli @url,1,en
@user i'm oprah winfrey. oprah singing faggot,1,en
hahaha grow faggot @url,1,en
@user michael - live one 'shithole' countries tell caravan respective @url,1,en
saturday everyone remember beer liquor never sicker liquor beer fucking twat man fuck,1,en
dope new gospel - lighter flick. soul beat. win. fire already. keep mind i'm negro / open min @url,0,en
@user queue fucking retarded makes everyone feel like even chance make fcfs fucksake,1,en
@user mexican spic dora,1,en
shorty called faggot cause respond lmfaoooo,1,en
@user ok maybe send finished,0,en
@user cunt embarrassment club,1,en
wow watching documentary evidence sexual assault cases.. wonder rapists believe whatev @url,1,en
@user que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,1,en
dude i'm tired retarded,1,en
mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee,1,en
also believes slaves immigrants. he's fool disgrace injustices done *his* gop white peop @url,1,en
pretty sure employee philip green called 'balding racist sexist twat' would perceived dismi @url,1,en
3 people shot armed police officers dumb twat @url,1,en
@user would honduras guatemala quality shithole countries?...,1,en
@user @user btw. allowed say shithole countries? also allowed say wes @url,0,en
yepnnplus spic &amp; span waxed &amp; buffed: fitting suspects dishevelled profile; new posters (not faded th @url,1,en
@user @user trump voice:nmy friend chinaman longer us #chanded,1,en
bitch retarded  hate @url,1,en
@user migrants.7z,1,en
hetero guy: faggot bet wanna suck dick nnme: @url,1,en
@user fallait pad arriver en retard,1,en
using word retard form great way make lose huge amount respect you.,1,en
everyone knows feminazi's r lying gd teeth @user @user @user @url,1,en
@user care moral voters; want liberals illegal aliens ms13...,1,en
@user still bitter cunt. much interest arsenal? player player fod us get sold.,1,en
1 box pencil mongol no.2 pencil case na may blessing ng holy water quiapo/st. jude.,0,en
@user @user losely quote trump/trumpers. dont need immigrants - vietnam country. @url,1,en
@user @user second grade called dirty jew another second grade girl. made sense @url,1,en
@user shut raghead.....,1,en
@user what's spic_,1,en
think women might retarded bro. like possesses y'all say shit y'all say? ,1,en
children = 52% refugees,1,en
@user @user msnbc identified terrorist organization! leftist media well!,1,en
doesnt right? negro default,1,en
@user wtf gym king phone little twat,1,en
absolute mongoloid gtfo lmaooo @url,1,en
retarded. okay perfect.,1,en
@user @user coincidentally timed caravan love coming shithole countries pretty sure unrelated ,1,en
fucking hate sonic drops coins valuable little cunt slow,1,en
@user mean platonic dyke way @url,0,en
@user haiti listed second worse place travel shithole talking @url,0,en
dyke nation? @url,1,en
@user put mic retard,1,en
okay forgive u- u spic ;) @url,1,en
many mdsz's classical golden scenes cut stupid retarded shitty idea going @url,1,en
parar anorexic mongol.,0,en
@user @user parody one thing twat funny.,1,en
@user swear .. white people fucking retarded ...,1,en
never called kike dirty jew @user began campaign. hateful rhetoric ha @url,1,en
@user called faggot stole wall burger king bathroom,1,en
@user @user go back shithole country grab pussy,1,en
@user look retarded,1,en
wish could around see one shithole-countries rule world one day. (better yet trump still around.),1,en
@user @user that's retarded thing ever seen twitter.,1,en
fucking fat anorexic gay homophobic mexican nigger retard pig @user,1,en
maybe i'm retarded,1,en
migraction 59 en faveur des migrants de calais @url via @user,1,en
twat @url,1,en
nigga didnt realize fox news negro thought talking shit white women would ok @url,1,en
@user reread shit illiterate twat,1,en
@user ching ching chong :),1,en
@user @user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining h @url,1,en
helped bring alc ae pi party faggot trying kick out. i've less min. fa @url,1,en
games c9 surrender look svenskaren go full retard game 2.,1,en
stop pleasin' strangersninstead fam'ly twat!,1,en
@user okay giving benefits illegal aliens? ary okay working illegally? ar @url,1,en
mongoloid literally said wrong place 15 times. @url,1,en
everyone calls mongy jess hate,1,en
@user fuck mongy bin dipper,1,en
@user i'd assume nonce like say retard. harsh,1,en
everything better. cunt alive..,1,en
@user @user could given shithole countries money,1,en
cunt wants grab generation scruff neck getting fucking stupid @url,1,en
need @user tell i'm twat right here!,1,en
@user twat,1,en
@user unaccounted illegal aliens happy. tufail one,1,en
opposed using word retard retarded would think ok use word libtard?!,1,en
living real white got soul still spic !,1,en
@user @user economic asylum thing. neither country shithole asylum. nnhow @url,1,en
retarded toxic femininity  @url,1,en
@user rather clear thinknnhe'd rather chinaman would different reason,1,en
baby knows potus #mongoloid,1,en
man leave one week first twat nut,1,en
@user america shithole country los angeles good.,1,en
@user sigh.. said spic..,1,en
@user nigger,1,en
scomo biggest faggot madden historyhe bashes everyone anything madden @url,1,en
 gimme break gimme break. break piece fat retard  @url,1,en
@user think retard tbh success twitters made automatically post discord many use @url,1,en
@user everything enraging. smug little twat.,1,en
smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly @url,1,en
trump hate jews lmfao ya niggas full retard. know work @user @user right? @url,1,en
buy @user @user @user @user @user @user regularly alternatives @url,0,en
@user @user honduras guatemala??? would considered shithole countries well?,1,en
@user fuck faggot,0,en
look leftist terrorist like guy shot @user softball game compar @url,0,en
dawg rondo fucking retarded,1,en
2018 yall dont know calling asians ching chong racist,1,en
@user early gab awesome maga sad see whole thing wither die one giant retard moshpit cringe.,1,en
get they're dead communist literally retard mode,1,en
@user hmm okay case take care twat,1,en
@user @user @user retard twitter account looks like.,1,en
@user behave yurself today match day stop twat,1,en
sounds fucking retarded. idiots seriously get kick shit? jesus...,1,en
horrible cunt @url,1,en
@user welcome twitter club known as.. reported far left retarded cry baby..! @url,1,en
#shitholecountry leave?nnoh yeah....because shithole country overran @url,1,en
@user @user @user retarded.,1,en
@user @user mongy american probably,1,en
cunt progress bint tpa talking one rule oneone another. near fucking choked coffee.,1,en
